date,regime,n_stocks,leverage,turnover,tc_cost,cash_weight,top_holdings
2015-06-12,0,29,1.0,1.4137931034482758,0.0007068965517241379,2.220446049250313e-16,"[('AMD', 0.03448275862068966), ('VRTX', 0.03448275862068966), ('INCY', 0.03448275862068966), ('AVGO', 0.03448275862068966), ('WMT', 0.03448275862068966), ('BAX', 0.03448275862068966), ('CRM', 0.03448275862068966), ('HAL', 0.03448275862068966), ('CMG', 0.03448275862068966), ('AMZN', 0.03448275862068966)]"
2015-06-19,0,30,1.0,1.3666666666666667,0.0006833333333333333,0.0,"[('HAL', 0.33333333333333337), ('MRO', 0.33333333333333337), ('FCX', 0.33333333333333337), ('ENPH', 0.0), ('AMD', 0.0), ('UAL', 0.0), ('GL', 0.0), ('VRTX', 0.0), ('HUM', 0.0), ('URI', 0.0)]"
2015-06-26,0,29,1.0,1.6206896551724137,0.0008103448275862069,2.220446049250313e-16,"[('WMB', 0.03448275862068966), ('NXPI', 0.03448275862068966), ('INCY', 0.03448275862068966), ('AVGO', 0.03448275862068966), ('TRMB', 0.03448275862068966), ('SJM', 0.03448275862068966), ('NSC', 0.03448275862068966), ('WM', 0.03448275862068966), ('MDLZ', 0.03448275862068966), ('STZ', 0.03448275862068966)]"
2015-07-06,1,30,0.7,1.3666666666666667,0.0006833333333333333,0.30000000000000016,"[('MU', 0.33333333333333337), ('ZTS', 0.33333333333333337), ('VTRS', 0.33333333333333337), ('WYNN', 0.0), ('ENPH', 0.0), ('LUV', 0.0), ('PAYC', 0.0), ('CI', 0.0), ('AAL', 0.0), ('NTAP', 0.0)]"
2015-07-13,1,20,0.7,2.3,0.00115,0.30000000000000004,"[('NFLX', 0.1662498459011226), ('MU', 0.07425811161433898), ('ABMD', 0.07005696027781692), ('AOS', 0.06077576632571349), ('NEM', 0.05098927530009347), ('AMZN', 0.048396773710137966), ('APTV', 0.04771918043649452), ('CTRA', 0.042895740401718646), ('LYB', 0.042191991525719764), ('NTRS', 0.04054274219443864)]"
2015-07-20,1,30,0.7,1.4,0.0007,0.29999999999999993,"[('NFLX', 0.10928766410667555), ('GOOGL', 0.061976527865950065), ('GOOG', 0.05440354038050466), ('PAYC', 0.05401240349705034), ('ENPH', 0.042823475883797237), ('CMA', 0.040277774500509615), ('SWKS', 0.03829126114740066), ('ZION', 0.036493770549811365), ('C', 0.03464610355618453), ('NXPI', 0.03338148372597926)]"
2015-07-27,1,30,0.7,1.5333333333333334,0.0007666666666666667,0.30000000000000027,"[('COF', 0.08145914852070307), ('URI', 0.06020277232606533), ('FCX', 0.05170197884032233), ('ADI', 0.04408298999935188), ('CE', 0.0426554660659779), ('TXT', 0.041589978951565125), ('PPG', 0.04083593823389568), ('APA', 0.038751917388929094), ('HAS', 0.0378546428754845), ('CTRA', 0.03588295515599789)]"
2015-08-03,0,30,1.0,1.8,0.0009000000000000001,0.0,"[('VTRS', 0.0810878939911752), ('URI', 0.0662725597818784), ('TT', 0.05097085675772536), ('CI', 0.049834976926401674), ('CDNS', 0.04722586045055167), ('GS', 0.04527874778728114), ('HUM', 0.044247423708281546), ('CNC', 0.03787121223748032), ('BBWI', 0.0374983669019108), ('FITB', 0.037385053611943365)]"
2015-08-10,0,30,1.0,1.6666666666666667,0.0008333333333333334,0.0,"[('GNRC', 0.05990629706532509), ('TRMB', 0.05953741402674275), ('DIS', 0.05844134629627803), ('MOH', 0.05694121550667582), ('INCY', 0.053029428314641865), ('EPAM', 0.04565959480991561), ('GILD', 0.04514442038332187), ('MTCH', 0.04340853591935408), ('HUM', 0.04143321399765957), ('PAYC', 0.03965003726013537)]"
2015-08-17,0,29,1.0,1.5517241379310345,0.0007758620689655172,0.0,"[('ZBRA', 0.09399595572632789), ('MNST', 0.05426083861706283), ('CMCSA', 0.047681374948043385), ('NCLH', 0.04680114649238138), ('DVA', 0.04415481596407133), ('EW', 0.0433528115188191), ('TGT', 0.043261442543347246), ('AAP', 0.04308999534640799), ('INCY', 0.04157971023029827), ('EPAM', 0.0391756298596769)]"
2015-08-24,2,30,0.4,1.5666666666666667,0.0007833333333333334,0.5999999999999999,"[('ZBRA', 0.06209161287465318), ('INTU', 0.052449164101111216), ('GS', 0.04329207693298877), ('BIO', 0.04224729219391465), ('WBA', 0.03992804350584733), ('ZION', 0.03978610961230496), ('SWKS', 0.03905175360466743), ('SIVB', 0.03821828108672978), ('FRC', 0.038040815388967794), ('GILD', 0.03681395936032859)]"
2015-08-31,2,30,0.4,1.9333333333333333,0.0009666666666666667,0.5999999999999999,"[('ABT', 0.0370629232251293), ('WFC', 0.03643589048339134), ('CPT', 0.03623382400948336), ('AON', 0.03602463191019558), ('RE', 0.03535946781909058), ('KMB', 0.03514602111623591), ('WST', 0.03513006743919312), ('PLD', 0.03509772122594925), ('UDR', 0.03472565586368966), ('ACN', 0.034653112089621865)]"
2015-09-08,2,30,0.4,1.8666666666666667,0.0009333333333333333,0.6000000000000001,"[('CAG', 0.040613143443959596), ('DXCM', 0.0404377407760687), ('NFLX', 0.04014695171230975), ('ABBV', 0.03835824949630348), ('TYL', 0.037779545797098406), ('MCO', 0.03598268679727789), ('AMZN', 0.03566113182769895), ('EXPE', 0.03555471330697325), ('DG', 0.035491845016576845), ('ES', 0.03506492617814337)]"
2015-09-15,2,28,0.4,1.5,0.00075,0.6,"[('DXCM', 0.0472581110311183), ('REGN', 0.04635684370616225), ('EA', 0.04419252100443935), ('LHX', 0.04415284770452138), ('NFLX', 0.04347412391936007), ('MDT', 0.041605206717603635), ('UHS', 0.04099592589583824), ('PVH', 0.04023091368176076), ('TTWO', 0.03938389726474657), ('KIM', 0.039353515405130775)]"
2015-09-22,2,30,0.4,1.5333333333333334,0.0007666666666666667,0.6,"[('TAP', 0.0494912243507812), ('LKQ', 0.04717116037892637), ('LHX', 0.04280948690007412), ('SNA', 0.04196154314330035), ('PENN', 0.041094516448008), ('VRTX', 0.03910633562487621), ('PFE', 0.03851448041943118), ('GL', 0.038445684561158565), ('NRG', 0.03762600544145538), ('V', 0.03634028451239182)]"
2015-09-29,2,29,0.4,1.4827586206896552,0.0007413793103448277,0.6000000000000001,"[('NFLX', 0.0601112026789996), ('DXCM', 0.054649028834625524), ('WYNN', 0.04856156843632099), ('PENN', 0.04562029900803773), ('MHK', 0.04484956113943814), ('CNC', 0.0445088131958575), ('HCA', 0.04369854937602077), ('MU', 0.03983390330558927), ('VTRS', 0.03844316467933184), ('ILMN', 0.038192561714242734)]"
2015-10-06,1,29,0.7,1.5172413793103448,0.0007586206896551724,0.30000000000000004,"[('DXCM', 0.0536644040555066), ('INCY', 0.04980102073140898), ('CMG', 0.048764697386606035), ('MU', 0.04844694296569896), ('MKC', 0.045508103489059704), ('EBAY', 0.04419042491490177), ('MOH', 0.04362837742181747), ('NFLX', 0.04361915453079059), ('FTNT', 0.0433114245388658), ('UAL', 0.0404823949483673)]"
2015-10-13,1,30,0.7,1.7666666666666666,0.0008833333333333333,0.30000000000000016,"[('YUM', 0.09201763229327019), ('ABMD', 0.06264232352138101), ('ALK', 0.05309592914287724), ('TTWO', 0.04282164325408674), ('TFX', 0.04078260558964494), ('WYNN', 0.039126114726055004), ('IQV', 0.03630869156820338), ('FFIV', 0.03619420090757367), ('GNRC', 0.03595166492264234), ('FTNT', 0.03595051359052904)]"
2015-10-20,1,29,0.7,1.6206896551724137,0.0008103448275862069,0.29999999999999993,"[('YUM', 0.08351871686877785), ('GRMN', 0.06550815925253067), ('WMT', 0.06545748504089975), ('TAP', 0.05485391806735401), ('ALK', 0.05055801200138656), ('SEE', 0.04303812692579631), ('CMG', 0.042573854161088914), ('EBAY', 0.039345424038416434), ('DRI', 0.03888869136991338), ('PWR', 0.03714521150037464)]"
2015-10-27,1,28,0.7,1.5357142857142858,0.0007678571428571429,0.30000000000000016,"[('FTNT', 0.0758130629023475), ('PWR', 0.07356547202026135), ('DXCM', 0.06241068685626668), ('HUM', 0.05510251632711627), ('MCD', 0.05475432179469438), ('TAP', 0.04477572199822501), ('POOL', 0.04399221003402916), ('CMG', 0.04107315399474358), ('SEE', 0.04019738541230173), ('PAYC', 0.039158823415521946)]"
2015-11-03,1,29,0.7,1.2758620689655173,0.0006379310344827587,0.30000000000000004,"[('FTNT', 0.07811891012599961), ('HUM', 0.05961891540320874), ('ABMD', 0.056409837692626544), ('CI', 0.05277764620662078), ('POOL', 0.05266670764192599), ('LDOS', 0.051574697695440014), ('NDAQ', 0.04707295255835253), ('MOH', 0.04369094670608058), ('TXN', 0.04177938745274121), ('KDP', 0.04078831086591646)]"
2015-11-10,1,30,0.7,1.5666666666666667,0.0007833333333333334,0.29999999999999993,"[('ABMD', 0.08581763694443272), ('FIS', 0.07576636053852186), ('NXPI', 0.06375394993691719), ('NVDA', 0.05715730843584458), ('LDOS', 0.05309610721485694), ('IRM', 0.04525555067722744), ('TRMB', 0.04275563944486031), ('TYL', 0.038378144183887956), ('ATVI', 0.038307691672637534), ('LNT', 0.03671666136373758)]"
